"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Anchorman: The Legend of Ron Burgundy",25000,84136.9,5339.4,"PG-13 for sexual humor, language and comic violence","95 minutes","Anchorman","Original Screenplay","Comedy","Live Action","Historical Fiction","DreamWorks Pictures, Judd Apatow","United States","English","Dreamworks SKG",2004
"And So It Goes",18000,15160.801,2759.2,"PG-13 for some sexual references and drug elements","93 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Castle Rock Entertainment, Rob Reiner, Alan Greisman, Foresight Unlimited, Envision Entertainment","United States","English","Clarius Entertainment",2014
"Angel Eyes",38000,24044.5,5500,"R for language, violence and a scene of sexuality","102 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2001
"Angel Has Fallen",40000,70530.436,64335,"R for violence and language throughout","114 minutes","Fallen","Original Screenplay","Thriller","Live Action","Contemporary Fiction","Lionsgate, Millennium Media, Millennium Films, G-Base","United States","English","Lionsgate",2019
"Angels & Demons",150000,133375.8,357500,"PG-13 for sequences of violence, disturbing images and thematic material","138 minutes","Da Vinci Code","Fiction Book/Short Story","Thriller","Live Action","Contemporary Fiction","Columbia Pictures, Imagine Entertainment, Brian Grazer Productions, John Calley","United States","English","Sony Pictures",2009
"Anger Management",56000,135560.9,59923.6,"PG-13 on appeal for crude sexual content and language (previously rated R)","106 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Revolution Studios, Happy Madison","United States","English","Sony Pictures",2003
"Annabelle",6500,84273.813,172589.1,"R for intense sequences of disturbing violence and terror","98 minutes","The ConjuringAnnabelle","Spin-Off","Horror","Live Action","Historical Fiction","Atomic Monster, The Safran Company, RatPac Entertainment, Dune Entertainment","United States","English","Warner Bros.",2014
"Annabelle Comes Home",27000,77652.591,154364.5,"R for horror violence and terror","106 minutes","AnnabelleThe Conjuring","Original Screenplay","Horror","Live Action","Contemporary Fiction","Atomic Monster, New Line Cinema, The Safran Company","United States","English","Warner Bros.",2019
"Annabelle: Creation",15000,106092.201,203292.7,"R for horror violence and terror","109 minutes","The ConjuringAnnabelle","Original Screenplay","Horror","Live Action","Contemporary Fiction","New Line Cinema, Atomic Monster, The Safran Company, RatPac Entertainment, Dune Entertainment","United States","English","Warner Bros.",2017
"Annapolis",NA,17128,97,"PG-13 for some violence, sexual content and language.","83 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Touchstone Pictures","United States","English","Walt Disney",2006
"Annie",65000,85911.3,53918.4,"PG for some mild language and rude humor","118 minutes",NA,"Remake","Musical","Live Action","Contemporary Fiction","Overbrook Entertainment, Marcy Media, Olive Bridge Entertainment","United States","English","Sony Pictures",2014
"Anomalisa",8000,3759.3,1946.9,"R for strong sexual content, graphic nudity and language","96 minutes",NA,"Original Screenplay","Comedy","Stop-Motion Animation","Fantasy","Starburns Industries, Snoot Entertainment, Paramount Pictures","United States","English","Paramount Pictures",2016
"Another Earth",175,1321.2,781.6,"PG-13 for disturbing images, some sexuality, nudity and brief drug use","92 minutes",NA,"Original Screenplay","Drama","Live Action","Science Fiction","Artists Public Domain","United States","English","Fox Searchlight",2011
"Answers to Nothing",NA,22.049,NA,"R for some strong sexual content, nudity, violence and language","123 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Cold Iron Pictures, Ambush Entertainment","United States","English","Roadside Attractions",2011
"Ant-Man",130000,184753.078,338656.3,"PG-13 for sci-fi action violence","117 minutes","Marvel Cinematic UniverseAnt-Man","Comic/Graphic Novel","Action","Live Action","Super Hero","Marvel Studios, Walt Disney Pictures","United States","English","Walt Disney",2015
"Ant-Man and the Wasp",130000,228148.74,406495.9,"PG-13 for some sci-fi action violence","118 minutes","Ant-ManMarvel Cinematic Universe","Comic/Graphic Novel","Action","Animation/Live Action","Super Hero","Marvel Studios","United States","English","Walt Disney",2018
"Antwone Fisher",12500,21078.1,2289.4,"PG-13 for violence, language and mature thematic material involving child abuse","117 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Fox Searchlight Pictures, Mundy Lane, Todd Black","United States","English","Fox Searchlight",2002
"Anvil! The Story of Anvil",NA,667.9,418,"Not Rated","81 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Abramorama Films",2009
"Any Given Sunday",60000,75530.8,24700,"R for language, sexuality/nudity and drug content.","164 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Warner Bros.","United States","English","Warner Bros.",1999
"Apocalypto",40000,50866.6,70165.6,"R for sequences of graphic violence and disturbing images","138 minutes",NA,"Original Screenplay","Action","Live Action","Historical Fiction","Icon Distribution, Inc.","United States","English","Walt Disney",2006
"Apollo 11",NA,9040.2,2931.5,"G(Rating bulletin 2565 (Cert #52035), 2/13/2019)","93 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","CNN Films, Neon Films, Statement Pictures","United States","English","Neon",2019
"Apollo 18",5000,17686.9,8830.9,"PG-13 for some disturbing sequences, and language","87 minutes",NA,"Original Screenplay","Thriller","Live Action","Science Fiction","Dimension Films, Bekmambetov Projects","United States","English","Weinstein Co.",2011
"Aqua Teen Hunger Force Colon Movie Film for Theaters",750,5520.4,NA,"R for crude and sexual humor, violents images and language","86 minutes",NA,"TV","Action","Digital Animation","Science Fiction",NA,"United States","English","First Look",2007
"Aquaman",160000,344061.807,808696.9,"PG-13 for sequences of sci-fi violence and action, and for some language","143 minutes","DC Extended Universe","Comic/Graphic Novel","Action","Animation/Live Action","Super Hero","Warner Bros., DC Films, RatPac Entertainment, The Safran Company, Cruel and Unusual Films, Mad Ghost Productions","United States","English","Warner Bros.",2018
"Aquamarine",12000,18597.3,4381.6,"PG for mild language and sensuality","104 minutes",NA,"Fiction Book/Short Story","Comedy","Live Action","Fantasy",NA,"United States","English","20th Century Fox",2006
"Arbitrage",12000,7919.6,27911.1,"R for language, brief violent images and drug use","100 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Green Room Films, TreeHouse Pictures, Parlay Films, LB Productions, Artina Films, Alvernia Studios, Lucky Monkey","United States","English","Roadside Attractions",2012
"Are We Done Yet?",NA,49662.5,8725.5,"PG for some innuendos and brief language","92 minutes","Are We There Yet?","Remake","Comedy","Live Action","Contemporary Fiction","Revolution Studios","United States","English","Sony Pictures",2007
"Are We There Yet?",20000,82674.4,15440.1,"PG for language and rude humor.",NA,"Are We There Yet?","Original Screenplay","Romantic Comedy","Live Action","Kids Fiction","Revolution Studios","United States","English","Sony Pictures",2005
"Armored",20000,15988.9,7672.2,"PG-13 for sequences of intense violence, some disturbing images and brief strong language.","88 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Screen Gems, Stars Road Entertainment, Farah Films","United States","English","Sony Pictures",2009
"Arrival",47000,101996.139,102581.8,"PG-13 for brief strong language","116 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Science Fiction","Paramount Pictures, FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment","United States","English","Paramount Pictures",2016
"Arthur",40000,33035.4,14752.5,"PG-13 for alcohol use throughout, sexual content, language and some drug references","110 minutes",NA,"Remake","Comedy","Live Action","Contemporary Fiction","Warner Bros., MBST Entertainment, Benderspink Productions, Langley Park Pictures","United States","English","Warner Bros.",2011
"Artificial Intelligence: AI",90000,78616.7,157283.3,"PG-13 for some sexual content and violent images.","145 minutes",NA,"Fiction Book/Short Story","Drama","Animation/Live Action","Science Fiction","Amblin Entertainment, DreamWorks Pictures","United States","English","Warner Bros.",2001
"As Above, So Below",5000,21692.315,20601.8,"R for bloody violence/terror, and language throughout","93 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Legendary Pictures, Brothers Dowdle","United States","English","Universal",2014
"As It Is in Heaven",450,13.5,NA,"Not Rated","86 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Embark Visuals, Tracking Shot Productions","United States","English","Cinema Purgatorio",2014
"Assassination Nation",7000,2005.1,847.6,"R for disturbing bloody violence, strong sexual material including menace, pervasive language, and for drug and alcohol use - all involving teens","110 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Bron Studios, Foxtail Entertainment, Phantom Four, Creative Wealth Media Finance","United States","English","Neon",2018
"Assassin’s Creed",125000,56034.144,186111.7,"PG-13 for intense sequences of violence and action, thematic elements and brief strong language","116 minutes",NA,"Game","Action","Live Action","Science Fiction","Regency Enterprises, Ubisoft Entertainment, New Regency, DMC Film, The Kennedy/Marshall Company","United States","English","20th Century Fox",2016
"Assaulted: Civil Rights Under Fire",NA,7.1,NA,"PG-13 for violent disturbing images and brief strong language",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","High Top Releasing",2013
"At Middleton",NA,53.837,29.2,"R for drug use and brief sexuality","100 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Cineson, Look at the Moon, North by Northwest Entertainment","United States","English","Anchor Bay Entertainment",2014
"Atlas Shrugged: Part 1",NA,4752.4,NA,"PG-13 for some sexuality","97 minutes","Atlas Shrugged","Fiction Book/Short Story","Drama","Live Action","Science Fiction","Harmon Kaslow & John Aglialoro Prods","United States","English","Rocky Mountain Pictures",2011
"Atlas Shrugged: Part II",10000,3336.1,NA,"PG-13 for brief language","112 minutes","Atlas Shrugged","Fiction Book/Short Story","Drama","Live Action","Science Fiction","Harmon Kaslow & John Aglialoro Prods","United States","English","Atlas Distribution",2012
"Atlas Shrugged: Who Is John Galt?",5000,851.7,NA,"PG-13 for some violence and a scene of sexuality","99 minutes","Atlas Shrugged","Fiction Book/Short Story","Drama","Live Action","Science Fiction",NA,"United States","English","Atlas Distribution",2014
"Atomic Blonde",30000,53093.925,46771.5,"R for sequences of strong violence, language throughout, and some sexuality/nudity","114 minutes",NA,"Comic/Graphic Novel","Thriller","Live Action","Historical Fiction","Focus Features, Sierra Films, Denver & Delilah Films, Chickie The Cop, GIM Films, 87Eleven Inc.","United States","English","Focus Features",2017
"August Rush",25000,31664.2,32941.6,"PG for some thematic elements, mild violence and language","114 minutes",NA,"Real Life Events","Drama","Live Action","Fantasy",NA,"United States","English","Warner Bros.",2007
"Austin Powers in Goldmember",63000,213117.8,83220.9,"PG-13 for sexual innuendo, crude humor and language.","94 minutes","Austin Powers","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Gratitude International, Team Todd","United States","English","New Line",2002
"Australia",130000,49554,165526.8,"PG-13 for some violence, a scene of sensuality, and brief strong language.","165 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction","Twentieth Century Fox, Bazmark Film 2 Pty Ltd","United States","English","20th Century Fox",2008
"Auto Shop of Horrors",NA,4.3,NA,"Not Rated","87 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Driving With Our Eyes Shut",2016
"Autumn in New York",40000,37752.9,52964.8,"PG-13 for language and some sensuality.","103 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Lakeshore Entertainment","United States","English","MGM",2000
"Avengers: Endgame",400000,918373,1939427.6,"PG-13 for sequences of sci-fi violence and action, and some language","181 minutes","Marvel Cinematic UniverseAvengers","Comic/Graphic Novel","Action","Animation/Live Action","Super Hero","Marvel Studios","United States","English","Walt Disney",2019
"Avengers: Infinity War",300000,717815.482,1365725,"PG-13 for intense sequences of sci-fi violence and action throughout, language and some crude references","156 minutes","Marvel Cinematic UniverseAvengers","Comic/Graphic Novel","Action","Animation/Live Action","Super Hero","Marvel Studios","United States","English","Walt Disney",2018
"Away We Go",21000,9451.946,656.1,"R for language and some sexual content.","98 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Focus Features",2009
"Axe Giant: The Wrath of Paul Bunyan",NA,2.5,NA,"R for bloody violence, language and some sexuality/nudity","90 minutes",NA,"Folk Tale/Legend/Fairytale","Horror","Live Action","Fantasy","Gary Jones, P13 Entertainment","United States","English","Cinema Purgatorio",2013
"BRO'",NA,9.329,NA,"R for drug use and language throughout, sexuality/nudity and some violence","89 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Lucky Star Lounge, Bizlounge, Streetwise Films, Indigenous Films","United States","English","",2012
"Baby Mama",30000,60494.2,3676.2,"PG-13 for crude and sexual humor, language and a drug reference","99 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Relativity Media","United States","English","Universal",2008
"Back to the Future",19000,212259.8,173262.1,"PG","116 minutes","Back to the Future","Original Screenplay","Adventure","Live Action","Science Fiction","Amblin Entertainment","United States","English","Universal",1985
"Backstage (2000)",NA,1184.7,NA,"R for strong language, nudity and drug content",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Miramax, Strand",2000
"Bad Boys II",130000,138540.9,134731.1,"R for strong violence and action, pervasive language, sexuality and drug content","140 minutes","Bad Boys","Original Screenplay","Action","Live Action","Contemporary Fiction","Columbia Pictures","United States","English","Sony Pictures",2003
"Bad Lieutenant: Port of Call New Orleans",25000,1702.1,10711.8,"R for drug use and language throughout, some violence and sexuality","122 minutes",NA,"Remake","Drama","Live Action","Contemporary Fiction",NA,"United States","English","First Look",2009
"Bad Moms",20000,115257.297,67228.3,"R for sexual material, full frontal nudity, language throughout, and drug and alcohol content","101 minutes","Bad Moms","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Bill Block Media, STX Entertainment, Hyayi Brothers Corp., Suzanne Todd","United States","English","STX Entertainment",2016
"Bad Samaritan",NA,3424.744,1356.9,"R for violence, language throughout, some drug use and brief nudity","110 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Electric Entertainment, Global Pictures Media","United States","English","Electric Entertainment",2018
"Bad Santa",18000,60060.3,17086.7,"R for pervasive language, strong sexual content and some violence","93 minutes","Bad Santa","Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction","Dimension Films, Mike Zoss","United States","English","Miramax/Dimension",2003
"Bad Santa 2",26000,18124.066,5562.9,"R for crude sexual content and language throughout, and some graphic nudity","92 minutes","Bad Santa","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Ingenious Media, Broad Green Pictures, Miramax Films","United States","English","Broad Green Pictures",2016
"Bad Teacher",19000,100292.9,115156.1,"R for sexual content, nudity, language and some drug use","92 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Sony Pictures, Mosaic Media","United States","English","Sony Pictures",2011
"Bad Times at the El Royale",32000,17839.1,11360.3,"R for strong violence, language, some drug content and brief nudity","141 minutes",NA,"Original Screenplay","Thriller","Live Action","Historical Fiction","20th Century Fox, TSG Entertainment, Goddard Textiles","United States","English","20th Century Fox",2018
"Bad Words",10000,7779.614,63.5,"R for crude and sexual content, language and brief nudity","89 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Darko Entertainment, Aggregate Films, MXN Entertainment","United States","English","Focus Features",2014
"Bait",35000,15325.1,146.8,"R for language, violence and a scene of sexuality","119 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Village Roadshow Productions, Castle Rock Entertainment","United States","English","Warner Bros.",2000
"Balls of Fury",NA,32886.9,8893.1,"PG-13 for crude and sex-related humor, and for language.","90 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Spyglass Entertainment","United States","English","Focus Features",2007
"Bamboozled",10000,2185.3,188.7,"R for strong language and some violence","135 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","New Line Cinema, 40 Acres and a Mule Filmworks","United States","English","New Line",2000
"Bandits",75000,41523.3,30000,"PG-13 for some sexual content, language and violence","123 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2001
"Bandslam",20000,5211,7756.8,"PG for some thematic elements and mild language.","111 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Walden Media","United States","English","Summit Entertainment",2009
"Barbershop",12000,75781.6,1281.8,"PG-13","102 minutes","Barbershop","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Metro-Goldwyn-Mayer Pictures, State Street Pictures, Cube Vision","United States","English","MGM",2002
"Barbershop 2: Back in Business",18000,65070.4,772,"PG-13 for language, sexual material and brief drug references","106 minutes","Barbershop","Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2004
"Barbershop: The Next Cut",20000,54030.1,374.2,"PG-13 for sexual material and language","112 minutes","Barbershop","Original Screenplay","Comedy","Live Action","Contemporary Fiction","New Line Cinema, Metro-Goldwyn-Mayer Pictures, State Street Pictures, Cube Vision","United States","English","Warner Bros.",2016
"Barefoot",NA,15.1,NA,"PG-13 for some sexual content including references, partial nudity, brief strong language and a scene of violence","89 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","WhiteFlame","United States","English","Roadside Attractions",2014
"Basic",50000,26599.2,15999.2,"R for violence and language","98 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Columbia Pictures, Intermedia Film","United States","English","Sony Pictures",2003
"Batkid Begins",NA,74.709,NA,"PG for some mild thematic material","87 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","KTF Films","United States","English","Warner Bros.",2015
"Batman Begins",150000,205343.8,153660.7,"PG-13 for intense action violence, disturbing images and some thematic elements.","140 minutes","BatmanDark Knight Trilogy","Comic/Graphic Novel","Action","Live Action","Super Hero","Legendary Pictures","United States","English","Warner Bros.",2005
"Batman v Superman: Dawn of Justice",263000,358060.194,542034.9,"PG-13 for intense sequences of violence and action throughout, and some sensuality","151 minutes","Man of SteelSupermanBatmanDC Extended Universe","Comic/Graphic Novel","Action","Live Action","Super Hero","Warner Bros., RatPac Entertainment, Dune Entertainment, Atlas Entertainment, Cruel and Unusual Films","United States","English","Warner Bros.",2016
"Batman: The Killing Joke",NA,3775,586,"R for some bloody images and disturbing content","76 minutes","BatmanDC Animated Movie Universe","Comic/Graphic Novel","Action","Digital Animation","Super Hero","Warner Animation Group, DC Comics","United States","English","Fathom Events",2016
"Battle for Terra",NA,1647.1,4740.4,"PG for sequences of sci-fi action violence and some thematic elements.","85 minutes",NA,"Short Film","Adventure","Digital Animation","Science Fiction","Snoot Entertainment, Menithings Productions","United States","English","Roadside Attractions",2009
"Battle of the Sexes",25000,12638.5,5806.9,"PG-13 for some sexual content and partial nudity","121 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Fox Searchlight Pictures","United States","English","Fox Searchlight",2017
"Battle of the Year 3D",20000,8888.4,7835,"PG-13 for language and some rude behavior","109 minutes",NA,"Movie","Drama","Live Action","Contemporary Fiction","Screen Gems, Contrafilm","United States","English","Sony Pictures",2013
"Battle: Los Angeles",70000,84039.879,129911.5,"PG-13 for sustained and intense sequences of war violence and destruction, and for language","116 minutes",NA,"Original Screenplay","Action","Live Action","Science Fiction","Columbia Pictures, Relativity Media, Original Film","United States","English","Sony Pictures",2011
"Battlefield Earth: A Saga of the Year 3000",80000,21471.7,8254,"PG-13 for intense sci-fi action","118 minutes",NA,"Fiction Book/Short Story","Action","Live Action","Science Fiction",NA,"United States","English","Warner Bros.",2000
"Battleship",220000,65883.4,248244.3,"PG-13 for intense sequences of violence, action and destruction, and for language","130 minutes",NA,"Game","Action","Live Action","Contemporary Fiction","Universal Pictures, Hasbro Studios, Bluegrass Films, Film 44","United States","English","Universal",2012
"Baywatch",60000,59360.186,117803.6,"R for language throughout, crude sexual content, and graphic nudity","119 minutes",NA,"TV","Comedy","Live Action","Contemporary Fiction","Paramount Pictures, 7 Bucks Productions, Contrafilm, Montecito Picture Company, Vinson Pictures, Flynn Picture Company, Cold Springs Pictures","United States","English","Paramount Pictures",2017
"Be Natural: The Untold Story Of Alice Guy-Blaché",NA,115.7,53.5,"Not Rated","103 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Wildwood Enterprises, Artemis Rising Foundation, Foothill Productions","United States","English","Zeitgeist",2019
"Beach Rats",NA,471.3,12.8,"R for strong sexual content, graphic nudity, drug use and language","95 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Cinereach Films, Animal Kingdom, Secret Engine","United States","English","Neon",2017
"Bears",NA,17780.2,371.6,"G","77 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Disney Nature, Silverback Films","United States","English","Walt Disney",2014
"Beast",NA,800.4,945.2,"R for disturbing violent content, language and some sexuality","107 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","30 West, Roadside Attractions, Film 4, BFI, Agile Films  , Stray Bear Films","United States","English","Roadside Attractions",2018
"Beastly",17000,27865.6,10162.7,"PG-13 for language including some crude comments, drug references and brief violence(Rating bulletin 2107, 2/10/2010)PG-13 for language including crude comments, brief violence and some thematic material","86 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Fantasy","Storefront Pictures","United States","English","CBS Films",2011
"Beasts of No Nation",6000,90.8,NA,"Not Rated","137 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Netflix, Participant Media, Red Crown, Levantine Films, New Balloon, Mutressa Movies, Primary Productions, Parlaiment of Owls","United States","English","Bleecker Street",2015
"Beasts of the Southern Wild",1800,12795.7,10469.4,"PG-13 for thematic material including child imperilment, some disturbing images, language and brief sensuality","93 minutes",NA,"Play","Drama","Live Action","Fantasy","Fox Searchlight Pictures, Cinereach Films, Court 13, Journeyman Pictures","United States","English","Fox Searchlight",2012
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",NA,1200,NA,"R for language","93 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Rival Pictures, State Street Pictures, Om Films","United States","English","Sony Pictures Classics",2011
"Beautiful Boy (2011)",NA,77.247,54,"R for some language and a scene of sexuality","101 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Lightning Entertainment, Goldrush Entertainment, First Point Entertainment, Braeburn Entertainment","United States","English","Amazon Studios, Anchor Bay Entertainment",2011
"Beautiful Boy (2018)",25000,7634.8,5679.8,"R for drug content throughout, language, and brief sexual material","112 minutes",NA,"Factual Book/Article","Drama","Live Action","Contemporary Fiction","Plan B Entertainment, Amazon Studios","United States","English","Amazon Studios, Anchor Bay Entertainment",2018
"Beautiful Creatures ",50000,19452.138,40830.7,"PG-13 for violence, scary images and some sexual material","123 minutes",NA,"Fiction Book/Short Story","Thriller","Live Action","Fantasy","Alcon Entertainment, Belle Pictures, 3 Arts Entertainment","United States","English","Warner Bros.",2013
"Beautifully Broken",NA,1209.6,33.6,"PG-13 for mature thematic involving violence and disturbing images, and some drug material","108 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Big Film Factory, Film Incito","United States","English","ArtAffects",2018
"Beauty & the Beholder",NA,1.4,NA,"Not Rated","95 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Reel One Entertainment / Supremacy Films",2018
"Beauty Shop",25000,36351.3,2000,"PG-13 for sexual material, language and brief drug references.","105 minutes",NA,"Spin-Off","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2005
"Beauty and the Beast",160000,520314.165,752128.9,"PG for some action violence, peril and frightening images","123 minutes",NA,"Remake","Musical","Animation/Live Action","Fantasy","Walt Disney Pictures, Mandeville Films","United States","English","Walt Disney",2017
"Beauty and the Beast 3D",20000,206333.2,232323.7,"G","85 minutes","Beauty and the Beast","Fiction Book/Short Story","Musical","Hand Animation","Fantasy","Walt Disney Animation Studios","United States","English","Walt Disney",1991
"Because I Said So",39000,42674,26864.8,"PG-13 for sexual content including dialogue, some mature thematic material and partial nudity","102 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Gold Circle Films, Universal Pictures","United States","English","Universal",2007
"Because of Grácia",NA,90.4,NA,"PG-13 for thematic material","107 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","ArtAffects",2017
"Because of Winn-Dixie",15000,32647,861.4,"PG for thematic elements and brief mild language.","106 minutes",NA,"Fiction Book/Short Story","Comedy","Live Action","Contemporary Fiction","Walden Media","United States","English","20th Century Fox",2005
"Bedazzled",48000,37880,52496.2,"PG-13 for sex-related humor, language and some drug content.","93 minutes",NA,"Remake","Comedy","Live Action","Contemporary Fiction","20th Century Fox, Regency Enterprises","United States","English","20th Century Fox",2000
"Bedtime Stories",80000,110102,111367,"PG for some mild rude humor and mild language","99 minutes",NA,"Original Screenplay","Adventure","Live Action","Fantasy","Walt Disney Pictures, Happy Madison, Conman & Izzy","United States","English","Walt Disney",2008
"Bee Movie",150000,126631.3,160963.3,"PG for mild suggestive humor","90 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction","DreamWorks Animation, Columbus 81 Productions","United States","English","Paramount Pictures",2007
"Beer for My Horses",NA,666,NA,"PG-13 for some violence, sexual humor and dialogue, language, drug content and brief nudity.",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Roadside Attractions",2008
"Beerfest",17500,19185.2,974.1,"R for pervasive crude and sexual content, language, nudity and substance abuse","110 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Village Roadshow Productions, Legendary Pictures","United States","English","Warner Bros.",2006
"Before I Fall",5000,12241.1,6704.6,"PG-13 for mature thematic content involving drinking, sexuality, bullying, some violent images, and language-all involving teens","99 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Awesomeness Films, Open Road Films, Jon Shestack","United States","English","Open Road",2017
"Before Night Falls",NA,4221.8,4281.6,"R for strong sexual content, some language and brief violence","125 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Dramatization","Grandview Pictures","United States","English","Fine Line",2000
"Before We Go",3000,37.2,446.8,"PG-13 for brief strong language and some suggestive content","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Wonderland Sound and Vision, RSVP Entertainment","United States","English","Radius",2015
"Before You Know It",NA,151.307,NA,"Not Rated","98 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","1091 Media, El Dorado Pictures, Lifeboat Productions, Ball and Chain Productions","United States","English","1091 Media",2019
"Before the Devil Knows You're Dead",NA,7085.5,17823.6,"R for a scene of strong graphic sexuality, nudity, violence, drug use and language.","117 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","THINKFilm","United States","English","ThinkFilm",2007
"Begin Again",8000,16170.6,51813.5,"R for language","101 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Exclusive Media Group, Likely Story","United States","English","Weinstein Co.",2014
"Beginners",3200,5790.9,8523.5,"R for language and some sexual content","105 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Olympus Pictures, Parts and Labor","United States","English","Focus Features",2011
"Behind the Mask: The Rise of Leslie Vernon",NA,69.1,NA,"R for horror violence, language, some sexual content and brief drug use.","91 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction","Anchor Bay Films, Glen Echo Entertainment, Code Entertainment","United States","English","Anchor Bay Entertainment",2007
"Being Flynn",NA,540.2,4519.7,"R for language throughout, some sexual content, drug use, and brief nudity","101 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Depth of Field, Community Films, Tribeca Film","United States","English","Focus Features",2012
"Beirut",NA,5019.226,2741.2,"R for language, some violence and a brief nude image","109 minutes",NA,"Original Screenplay","Action","Live Action","Historical Fiction","Radar Pictures, Shivhans Pictures, Bleecker Street ","United States","English","Bleecker Street",2018
